id,author,title,year_published,volume,publisher,price,isbn
1,Larsson,The Girl with the Dragon Tattoo,,1,test,,
2,Larsson,The Girl Who Kicked the Hornets' Nest,,2,,,
3,Larsson,The girl Who Played with Fire,,3,,,
4,Nick Hornby,High Fidelity,,,,,
5,Nick Hornby,Fever Pitch,,,,,
6,Brian Keenan ,An Evil Cradling,,,,,
7,Daniel Keyes,Flower for Algernon,,,,,
8,Nick Hornby,Juliet Naked,,,,,
9,Nick Hornby,Slam,,,,,
10,Jonas Jonasson,The 100 Year Old Man Who Climbed out The Window and Disappeared,,,,,
11,Nick Hornby,Funny Girl,,,,,
12,James Patterson,Alex Cross Run,,,,,
13,Adeline Yen Mah,Chinese Cinderella,,,,,
14,Tony parsons ,The Family Way,,,,,
15,Paulo Coelho,The Alchemist,,,,,
16,Paulo Coelho,The Pilgrimage,,,,,
17,Paulo Coelho,The Devil and Miss Prym,,,,,
18,Paulo Coelho,The Wich of Portobello,,,,,
19,Paulo Coelho,The Zahir,,,,,
20,Paulo Coelho,Manuscript Found in Accra,,,,,
21,David Eagleman ,Sum Forty tales from the afterlives,,,,,
22,Jean Paul Sartre,Intimacy,,,,,
23,Robert Harris ,The Goast,,,,,
24,Haruki Murakami,The end of the World ,,,,,
25,J.L.C. & W.C. Grimm,Grimms' Fairy Tales,,,,,
26,Antony Hope,Rupert of Hentzau,,,,,
27,Bram Stoker,Dracula,,,,,
28,"Jerome K, Jerome",Three Men in a boat,,,,,
29,Sandra M.Gilbert/Susan Gubar,The North Anthology of Literature by Women,,,,,
30,Luisa M Alcott,Little women,,,,,
31,Hans Christian Andersen,Fairy Tales,,,,,
32,"Lewis Carroll
","Alice's Adventures in wonderland
Through the looking glass",,,,,
33,John Irving,A Prayer for Owen Meany,,,,,
34,Paul Auster ,The book of Illusions,,,,,
35,Oliver James,Affluenza,,,,,
36,Paulo Coelho,Eleven Minutes,,,,,
37,Alistair Maclean,Fear Is The Key,,,,,
38,Joanne Harris,Coastliners,,,,,
39,"McLaughlin, Emma",Nanny Diaries,,,,,
40,"Matterson, Elizabeth M.; David",This Little Puffin,,,,,
41,james clavell,Tai-Pan,,,,,
42,"Knight, India","Dont You Want Me
",,,,,
43,"Wilde, Oscar",Complete Fairy Tales of Oscar Wilde,,,,,
44,The Harvard Lampoon,Bored of the rings,,,,,
45,Joanne Harris ,Blackberry Wine,,,,,
46,J.K Rowling,Harry Potter and the deathly Hallows,,,,,
47,J.K Rowling,Harry Potter and the Half Blood Prince,,,,,
48,Alistair MacLean,The Satan bug,,,,,
49, Alois Raab,Joga kregoslupa,,,,,
50,John Fisher,Dlaczego mój pies,,,,,
51,Ellen Goodman ,Keeping in touch,,,,,
52,Stephanie Mayer,twilight,,,,,
53,Mikołaj Rej,Wybór pism,,,,,
54,Osho,Bliskość zaufaj sobie i innym,,,,,
55, Jean-claude Corbeil; Ariane Archambault; Wiktor Bukato,Angielski I Francuski Slownik Obrazkowy,,,,,
56,"McCall Smith, Alexander",The No. 1 Ladies' Detective Agency,,,,,
57,"Doman, Glenn",How to Teach Your Baby to Read: The Gentle Revolution,,,,,
58,Oxford,Oxford Wordpower Dictionary for Polish Learners (English and Polish Edition),,,,,
59,James Redfield,Niebiańska Przepowiednia,,,,,
60,James Redfield,Dziesiąte Wtajemniczenie,,,,,
61,Cyprian Norwid,Wiersze Wybrane,,,,,
62,Don Miguel Ruiz,Ścieżka Miłości,,,,,
63,Wisława Szymborska,Tutaj,,,,,
64,Witold Kaliński,Poezja naszego Wieku,,,,,
65,Kszysztow Kamil Baczyński,Wybór Poezji ,,,,,
66,Stanisław Baczyński ,159 wierszy,,,,,
67,Tetmajer Leśmian Staff,ogród miłości,,,,,
68,Jerzy Harasymowicz,Erotyki,,,,,
69,Fryderyk Nietzsche,Wiedza Radosna,,,,,
70,Jego Świątobliwość Dalajlama,Radość życia i umierania w pokoju,,,,,
71,Lillian Too,Feng Shui,,,,,
72,B.K.S. Iyengar,Drzewo Jogi,,,,,
73,Julian Tuwim,Wiersze wybrane,,,,,
74,Kazimierz Wierzński,Wybór Poezji,,,,,
75,Ignacy Krasicki,Bajki,,,,,
76,Jan Lechoń,Poezje,,,,,
77,Leopold Staff,Poezje,,,,,
78,Bolesław Leśman,Poezje,,,,,
79,Kazimiera Iłłakowiczówna,Poezje,,,,,
80,Kszysztow Kamil Baczyński,Poezje,,,,,
81,Jerzy Harasymowicz,Wybór Wierszy,,,,,
82,Kaja Cyganik,Nie mam już czasu na koniec świata,,,,,
83,Jonasz Kofta,Pamiętajcie o ogrodach,,,,,
84,Jan Twardowski,Który stwarzasz jagody,,,,,
85,"Escott, John","
Penguin Readers 4: Detective Work Book & MP3 Pack",,,,,
86,Hans H. Rhyner,Zdrowo Mlodo I Radosnie Z Ajurweda: Lagodna Koncepcja M-Used,,,,,
87,Bruno Meier,"W kręgu narodzin, Doświadczenie Reinkaracyjne",,,,,
88,Paula Horan,Siła Reinki,,,,,
